namevariant,preflabel,coords,wikidata,atlasofmutualheritage
"Tempati (kreek)","Tempati (kreek)","Point(5.38333 -54.6667)",http://www.wikidata.org/entity/Q34963468,https://www.atlasofmutualheritage.nl/en/Tempati-(creek).9180p
Tempatie,"Tempati (kreek)","Point(5.38333 -54.6667)",http://www.wikidata.org/entity/Q34963468,https://www.atlasofmutualheritage.nl/en/Tempati-(creek).9180p
Temoati,"Tempati (kreek)","Point(5.38333 -54.6667)",http://www.wikidata.org/entity/Q34963468,https://www.atlasofmutualheritage.nl/en/Tempati-(creek).9180p
"Tempatie Kreek","Tempati (kreek)","Point(5.38333 -54.6667)",http://www.wikidata.org/entity/Q34963468,https://www.atlasofmutualheritage.nl/en/Tempati-(creek).9180p
"Matapica (kreek en kust)","Matapica (kreek en kust)","Point(5.97286 -55.016)",,https://www.atlasofmutualheritage.nl/en/Matapica-(creek-coast).9198p
"Cottica (rivier)","Cottica (rivier)","Point(5.85173 -54.7965)",http://www.wikidata.org/entity/Q1090505,https://www.atlasofmutualheritage.nl/en/Cottica-River.9200p
Kotika-liba,"Cottica (rivier)","Point(5.85173 -54.7965)",http://www.wikidata.org/entity/Q1090505,https://www.atlasofmutualheritage.nl/en/Cottica-River.9200p
Cottica,"Cottica (rivier)","Point(5.85173 -54.7965)",http://www.wikidata.org/entity/Q1090505,https://www.atlasofmutualheritage.nl/en/Cottica-River.9200p
"Saramacca Rivier","Saramacca Rivier","Point(5.85208 -55.7323)",http://www.wikidata.org/entity/Q2167056,https://www.atlasofmutualheritage.nl/en/Saramacca-River.9202p
"Saremaca River","Saramacca Rivier","Point(5.85208 -55.7323)",http://www.wikidata.org/entity/Q2167056,https://www.atlasofmutualheritage.nl/en/Saramacca-River.9202p
"Saramacca Rivier","Saramacca Rivier","Point(5.85208 -55.7323)",http://www.wikidata.org/entity/Q2167056,https://www.atlasofmutualheritage.nl/en/Saramacca-River.9202p
"Sarameca Rivier","Saramacca Rivier","Point(5.85208 -55.7323)",http://www.wikidata.org/entity/Q2167056,https://www.atlasofmutualheritage.nl/en/Saramacca-River.9202p
"fort Middelpunt","Middelpunt, fort (Batavia)","Point(-6.13464 106.811)",http://www.wikidata.org/entity/Q104534279,https://www.atlasofmutualheritage.nl/en/Middelpunt-fort-(Batavia).9203c
"Kali Besar Barat","Middelpunt, fort (Batavia)","Point(-6.13464 106.811)",http://www.wikidata.org/entity/Q104534279,https://www.atlasofmutualheritage.nl/en/Middelpunt-fort-(Batavia).9203c
"fort Takome","Takome, fort","Point(0.845452 127.314)",http://www.wikidata.org/entity/Q104534280,https://www.atlasofmutualheritage.nl/en/Takome-fort.9219c
"fort Tacomi","Takome, fort","Point(0.845452 127.314)",http://www.wikidata.org/entity/Q104534280,https://www.atlasofmutualheritage.nl/en/Takome-fort.9219c
"fort Willemstad","Takome, fort","Point(0.845452 127.314)",http://www.wikidata.org/entity/Q104534280,https://www.atlasofmutualheritage.nl/en/Takome-fort.9219c
"fort Cobo","Cobo, fort","Point(0.757109 127.404)",http://www.wikidata.org/entity/Q104534281,https://www.atlasofmutualheritage.nl/en/Cobo-fort.9220c
"San Joseph de Chovo","Cobo, fort","Point(0.757109 127.404)",http://www.wikidata.org/entity/Q104534281,https://www.atlasofmutualheritage.nl/en/Cobo-fort.9220c
Tsjobbe,"Cobo, fort","Point(0.757109 127.404)",http://www.wikidata.org/entity/Q104534281,https://www.atlasofmutualheritage.nl/en/Cobo-fort.9220c
Sjobbe,"Cobo, fort","Point(0.757109 127.404)",http://www.wikidata.org/entity/Q104534281,https://www.atlasofmutualheritage.nl/en/Cobo-fort.9220c
Tjiobbo,"Cobo, fort","Point(0.757109 127.404)",http://www.wikidata.org/entity/Q104534281,https://www.atlasofmutualheritage.nl/en/Cobo-fort.9220c
Tsiobbo,"Cobo, fort","Point(0.757109 127.404)",http://www.wikidata.org/entity/Q104534281,https://www.atlasofmutualheritage.nl/en/Cobo-fort.9220c
"verdedigingswerken van Semarang","Semarang, verdedigingswerken van","Point(-6.96749 110.426)",http://www.wikidata.org/entity/Q104534282,https://www.atlasofmutualheritage.nl/en/Semarang-defenses-of.9224c
"kreek Perica","Perica, kreek","Point(5.78333 -54.6667)",,https://www.atlasofmutualheritage.nl/en/Perica-Creek.9230p
"rivier Perica","Perica, kreek","Point(5.78333 -54.6667)",,https://www.atlasofmutualheritage.nl/en/Perica-Creek.9230p
"kreek Wayamoe","Wayamoe, kreek","Point(5.81667 -54.6667)",http://www.wikidata.org/entity/Q34846642,https://www.atlasofmutualheritage.nl/en/Wayamoe-Creek.9240p
"kreek Paramarica","Paramarica, kreek","Point(5.88333 -54.8)",http://www.wikidata.org/entity/Q59100013,https://www.atlasofmutualheritage.nl/en/Paramarica-Creek.9300p
"rivier Marowijne","Marowijne, rivier","Point(5.54115 -54.0313)",http://www.wikidata.org/entity/Q1369002,https://www.atlasofmutualheritage.nl/en/Marowijne-River.9312p
"rivier Maroni","Marowijne, rivier","Point(5.54115 -54.0313)",http://www.wikidata.org/entity/Q1369002,https://www.atlasofmutualheritage.nl/en/Marowijne-River.9312p
"fort Rijswijk","Rijswijk, fort (I)","Point(-6.16444 106.818)",http://www.wikidata.org/entity/Q104534511,https://www.atlasofmutualheritage.nl/en/Rijswijk-fort-(I).9320c
"fort Rijswijck","Rijswijk, fort (I)","Point(-6.16444 106.818)",http://www.wikidata.org/entity/Q104534511,https://www.atlasofmutualheritage.nl/en/Rijswijk-fort-(I).9320c
"fort Reijswijk","Rijswijk, fort (I)","Point(-6.16444 106.818)",http://www.wikidata.org/entity/Q104534511,https://www.atlasofmutualheritage.nl/en/Rijswijk-fort-(I).9320c
"fort Slingerland","Slingerland, fort","Point(-6.12208 106.84)",http://www.wikidata.org/entity/Q104534284,https://www.atlasofmutualheritage.nl/en/Slingerland-fort.9321c
